Cpr16Sau_SNM3_R1;Cpr16Sau_SNM3_R2;Cpr16Sau_SNM3_R3;Cpr70Sau_SNM3_R1;Cpr70Sau_SNM3_R2;Cpr70Sau_SNM3_R3;Cpr265Sau_SNM3_R1;Cpr265Sau_SNM3_R2;Cpr265Sau_SNM3_R3;Cpr16Sau_SNM10_R1;Cpr16Sau_SNM10_R2;Cpr16Sau_SNM10_R3;Cpr70Sau_SNM10_R1;Cpr70Sau_SNM10_R2;Cpr70Sau_SNM10_R3;Cpr265Sau_SNM10_R1;Cpr265Sau_SNM10_R2;Cpr265Sau_SNM10_R3;Cpr16Sau_BHI_R1;Cpr16Sau_BHI_R2;Cpr16Sau_BHI_R3;Cpr70Sau_BHI_R1;Cpr70Sau_BHI_R2;Cpr70Sau_BHI_R3;Cpr265Sau_BHI_R1;Cpr265Sau_BHI_R2;Cpr265Sau_BHI_R3
Corynebacterium propinquum;500.4467783;3303.333333;1528;10;33;31.33333333;166;1022.333334;982.3333333;406.6666667;928.6661851;427.5296279;46.66666667;195.6666667;154.6666667;461.6666667;239.3333333;351.6666667;0;0;0;0;0;0;0;0;0
Staphylococcus aureus;78.10994421;411.8333333;213.6666667;428.3333333;512.5;522.5;37;197.1666666;196.3333333;136.6666667;353.5002408;149.235186;372.5;557;459.5;71.66666667;43;61.5;432.1666667;500.3333333;647.3333333;391.5;425;625.1666667;253.5;534;825.5
